time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-15T16:14:32.240Z,38.8196667,-122.813,3.27,1.3,md,40,43,0.004369,0.03,nc,nc73901391,2023-06-15T20:29:19.270Z,"7km NW of The Geysers, CA",earthquake,0.17,0.28,0.115,29,reviewed,nc,nc
2023-06-15T16:14:01.685Z,61.5768,-141.2199,5.9,1.2,ml,,,,0.53,ak,ak0237mstjt4,2023-06-15T16:15:47.675Z,"92 km E of McCarthy, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-15T16:12:05.598Z,61.5722,-141.1707,6.7,1.4,ml,,,,0.24,ak,ak0237mst4of,2023-06-15T16:14:26.218Z,"94 km E of McCarthy, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-15T15:59:37.700Z,35.281,-120.5563333,10.35,1.51,md,28,57,0.09227,0.06,nc,nc73901381,2023-06-16T00:22:15.751Z,"9km E of San Luis Obispo, CA",earthquake,0.18,0.41,0.212,20,reviewed,nc,nc
2023-06-15T15:52:05.570Z,36.0711667,-120.5443333,5.03,0.78,md,16,156,0.04207,0.07,nc,nc73901371,2023-06-15T20:10:05.784Z,"18km WSW of Coalinga, CA",earthquake,0.29,0.69,0.169,6,reviewed,nc,nc
2023-06-15T15:40:13.300Z,12.8358,47.998,10,4.9,mb,112,72,5.201,0.87,us,us7000k8nx,2023-06-15T16:01:52.040Z,"Gulf of Aden",earthquake,10.57,1.869,0.057,98,reviewed,us,us
2023-06-15T15:36:29.260Z,34.0111667,-117.212,11.74,0.77,ml,17,128,0.07149,0.17,ci,ci40486656,2023-06-15T19:15:26.639Z,"6km SSW of Redlands, CA",earthquake,0.4,0.85,0.098,10,reviewed,ci,ci
2023-06-15T15:28:06.508Z,59.375,-152.9364,94,1.9,ml,,,,0.17,ak,ak0237msb4lm,2023-06-15T15:29:30.073Z,"57 km W of Nanwalek, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-06-15T15:15:46.010Z,38.8208333,-122.7876667,1.99,-0.23,md,11,77,0.009325,0.01,nc,nc73901361,2023-06-15T20:04:35.357Z,"6km NNW of The Geysers, CA",earthquake,0.32,0.49,0.089,9,reviewed,nc,nc
2023-06-15T15:05:03.102Z,59.8932,-151.8704,91,1.9,ml,,,,0.37,ak,ak0237ms66va,2023-06-15T15:07:06.532Z,"9 km SW of Happy Valley, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-06-15T15:01:59.859Z,64.9347,-147.3001,0,1.7,ml,,,,0.97,ak,ak0237ms5gcw,2023-06-15T15:04:36.562Z,"Central Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-15T14:58:42.970Z,58.1871666666667,-155.2615,4.23,0.24,ml,6,217,,0.27,av,av91926621,2023-06-15T17:45:39.750Z,"83 km NW of Karluk, Alaska",earthquake,1.18,2.16,0.30293167265925,6,reviewed,av,av
2023-06-15T14:35:56.020Z,35.7641667,-117.5765,11.79,0.75,ml,12,116,0.1587,0.11,ci,ci40486632,2023-06-15T19:09:53.914Z,"16km W of Searles Valley, CA",earthquake,0.33,0.99,0.048,3,reviewed,ci,ci
2023-06-15T14:17:26.540Z,33.9536667,-116.4463333,1.94,0.14,ml,3,270,0.03381,0.02,ci,ci40486616,2023-06-15T21:30:26.114Z,"5km E of Desert Hot Springs, CA",earthquake,0.7,0.55,0.03,2,reviewed,ci,ci
2023-06-15T13:37:22.310Z,33.1856667,-116.263,10.56,1.52,ml,71,25,0.0103,0.18,ci,ci40486584,2023-06-15T18:53:03.180Z,"13km SE of Borrego Springs, CA",earthquake,0.16,0.32,0.128,31,reviewed,ci,ci
2023-06-15T13:37:01.430Z,38.7248333,-122.9148333,6.94,1.29,md,44,94,0.06913,0.06,nc,nc73901346,2023-06-15T23:55:12.448Z,"13km SE of Cloverdale, CA",earthquake,0.18,0.48,0.227,39,reviewed,nc,nc
2023-06-15T13:25:22.964Z,31.64982658,-104.2625565,7.93112793,2.4,ml,38,67,0.02190166284,0.2,tx,tx2023lqmo,2023-06-15T15:51:34.639Z,"58 km NW of Toyah, Texas",earthquake,0.7953151515,0.7525203032,0.1,20,reviewed,tx,tx
2023-06-15T13:13:09.036Z,61.2075,-149.1631,30,1.7,ml,,,,0.32,ak,ak0237mr11uf,2023-06-15T13:14:41.487Z,"25 km ESE of Eagle River, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-15T13:01:32.549Z,63.241,-151.7519,0,1.9,ml,,,,0.95,ak,ak0237mqyj2e,2023-06-15T13:03:46.225Z,"33 km S of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
